Microsoft,Core i5-1245U,Iris Xe,16,13,67499000
asus,Core Ultra 9 185H,GeForce RTX 4060,32,16,158999000
asus,Core i7-13620H,GeForce RTX 4060,16,15.6,78969000
asus,Core i7-1355U,Iris Xe,12,15.6,37238000
Microsoft,Snapdragon X Elite,Adreno,16,13,99899000
asus,Core i3-1215U,UHD Graphics,12,15.6,27595000
asus,Core i9-14900HX,GeForce RTX 4060,16,18,139000000
HP,Core Ultra 7 155U,Arc,16,16,76500000
Microsoft,Core i7-13700H,GeForce RTX 4050,32,14.4,182999000
asus,AMD Ryzen AI 9 HX 370,GeForce RTX 4050,16,14,91999000
MSI,Core i5-12450H,RTX 2050,16,15.6,46499000
Lenovo,Core i5-13420H,UHD Xe,16,15.6,34890000
Gigabyte,Core i7-13620H,GeForce RTX 4050,16,15.6,66000000
asus,Core i3-1215U,UHD Graphics,12,15.6,27720000
Microsoft,Core i7-11370H,GeForce RTX 3050Ti,16,14.4,101894000
asus,Core i9-14900HX,GeForce RTX 4060,16,16,137969000
asus,Celeron N4020,UHD Graphics 600,16,15.6,20800000
asus,Core i5-1235U,Iris Xe Graphics,16,15.6,34670000
HP,Core i5-1334U,Iris Xe Graphics,8,15.6,36000000
Lenovo,Core i9-14900HX,GeForce RTX 4070,32,16,153969000
asus,Core i3-1215U,UHD Graphics,8,15.6,24910000
asus,Core i7-1355U,Iris Xe Graphics,40,15.6,47170000
Lenovo,Core i5-1235U,Iris Xe Graphics,8,15.6,29490000
Lenovo,Core i3-N305,UHD Graphics Xe,8,15.6,24169000
asus,Core i9-13900H,GeForce RTX 4050,16,16,84799000
asus,Core i7-13650HX,GeForce RTX 4070,32,16,122969000
Microsoft,Core i5-1235U,Iris Xe,8,12.4,57100000
asus,AMD Radeon RX 7600S,AMD Ryzen 7 7735HS,32,16,109969000
Acer,Core i5-13420H,GeForce RTX 3050,16,15.6,54800000
asus,Core i7-12700H,GeForce RTX 2050,16,16,59999000
asus,Core i3-1315U,UHD Graphics,8,15.6,26900000
HP,Core 7 150U,Iris Xe,16,14,61997000
asus,Core i5-1235U,Iris Xe Graphics,8,15.6,33970000
asus,Core i7-13620H,GeForce RTX 4070,32,15.6,93500000
Lenovo,Core i5-13450HX,GeForce RTX 3050,16,15.6,58500000
HP,Core i7-11370H,GeForce RTX 3050,8,15.6,47780000
Lenovo,Core i7-11370H,GeForce GTX 1650,16,15.6,41900000
Microsoft,Core i7-1255U,Iris Xe Graphics,32,13.5,89700000
Lenovo,Celeron N4020,UHD 600,4,15.6,17500000
asus,Core i5-1235U,Iris Xe Graphics,24,15.6,39599000
asus,Core i7-1355U,Iris Xe,12,15.6,42269000
MSI,Core i9-14900HX,GeForce RTX 4070,32,17,202000000
Lenovo,Core i7-13650HX,GeForce RTX 3050,32,15.6,66000000
Acer,Core i5-13420H,GeForce RTX 2050,8,15.6,44590000
